#OTU ID	SRR23216666	SRR23216663	SRR23216665	SRR23216664	SRR23216662	SRR23216667	ERR1474249	ERR1474250	ERR1474244	ERR1474248	ERR1474235	ERR1474237	ERR1474238	ERR1474246	ERR1474251	ERR1474247	ERR1474236	ERR1474240	ERR1474239
PWY-5509	5598.435551854043	6204.365362513785	6608.146352760864	14707.663774497092	6239.385789317556	9087.51008363835	2439.873446160888	2637.6964125877885	6150.423730026242	14123.163045444378	15386.029412014823	3048.581589639441	9539.239286978165	3958.2501842992187	6998.978684917892	22563.80044818171	8222.244890162581	10198.579040416633	3040.255178864352
PWY-5519	0.12704277504050732	0.22691629742117742	1.3729125099022625	0.03158873451167182	1.5839968346618858	0.27442564934226743	0.0	1.294395710569915	0.06648578544079835	0.0	0.012604052594445529	9.671654444501828e-05	2.9776525354224344e-05	0.6544296277395248	0.10611125184078016	6.295189291152874	1.4033793175755696	0.0	0.07611408185348176
PWY-5529	560.0710512021005	67.3617626578983	236.03866438306872	56.51202715450405	228.2353525565075	147.74094970297935	20.51830305724778	392.46614615886034	64.42479962071278	0.5420891977347796	0.021737474958990317	321.7915429225101	3.9823715190081597	1312.3511573697456	18.47218223016284	2836.647211681825	729.5462209590577	0.006331535953334758	123.77894588454176
PWY-5531	533.2175120123528	101.87678372261637	451.4394689210623	71.59264966473751	325.0981723003571	102.99570365861487	36.3080836032802	575.1055485209555	513.066314043319	13.4878433675004	0.4215615405702928	406.64948910669534	13.817841194440236	1860.8882537834518	18.09927364193421	2427.941122973933	1183.626095429506	5.705695147135255	143.52057820961573
PWY-5532	9.832174786048435	5.6824121640505725	26.891642254688755	4.278091371334449	12.51528470756573	7.88578819508394	61.40152690380836	40.5580466313758	25.5586770905979	137.83490954779754	67.3342164567407	131.09090776098938	125.7946805424113	29.851937880634985	167.84003391566262	5.780684943042552	155.65033652468966	55.260783437557514	124.48459227775035
PWY-5634	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0031478013605016e-08	1.4420991444440746e-12	0.0	0.0	0.0	0.0	8.422212339573628e-06	0.0	0.0	7.75382056775395e-05	0.0	0.0
PWY-5647	6762.699457216263	1032.5741748509931	1465.1158201025203	1637.0916176671456	1671.7924052697106	1697.844399621429	14.653649022768086	326.80181177009683	252.57611801410644	23.371401505670953	8.218483283121513	151.65366418799445	1.4591026027662435	1311.98842169853	194.7034491113488	1673.772120035583	4214.373423275113	1.2186162815263915	115.67460105887835
PWY-5651	9148.14332890945	1474.5586884913687	1599.073715205164	2111.6606595276226	2105.807709725362	2662.4911612459387	15.716059872326527	438.68866835216454	361.6593068498869	29.21544626498034	8.68827808018705	469.3869640896111	4.565863023030893	1919.7625850224988	416.86795767780256	2248.8937890901175	6992.193515876043	1.377732675791714	157.51467756564017
PWY-5654	6424.2910894183715	997.2431248526882	1569.7957530223368	2138.6658680353394	1640.672107901645	1864.184351066368	47.51873962513848	487.63673115078626	411.568193219957	51.34878857390606	59.216514845614455	137.79369841251287	2.405568941102131	1315.0893161389904	197.19705430576693	2172.6734836899814	3855.3809311961463	4.763775513532257	170.16382507561562
PWY-5655	6307.128927693077	1298.6921907094431	1769.317528389828	2433.4418605815526	1958.804898918336	2233.2675447087404	16.214641612372088	439.6437735584006	396.07019550061983	0.6684222918015342	7.330495687418577	283.6449499977148	3.0001226751255996	1644.1451457385458	330.64497494133803	2527.3393702141716	5354.163910377245	0.7949944480342007	169.31715614952554
PWY-5656	27.511304124927612	0.0	0.176599709246158	0.0	0.19034239991503832	13.461970943498695	0.0	15.443028688746697	167.9848074888821	0.00594313703890498	0.0	0.43861170313957243	0.46872057773256554	14.67194222852223	0.25768824777252736	82.01273739302138	11.253386416410573	0.05749465858046107	0.018894224412602734
PWY-5659	19183.19806382708	11485.54736618311	12552.397299281425	19384.614297077776	15312.886194942006	19271.407613129137	2932.3444908844485	4198.488935098769	7824.994180895991	19648.155984625922	22084.517020029936	4716.596320609076	12233.614249101383	10976.643695499257	9245.57268900442	38325.69925002312	23041.270792431213	10430.000855360124	4418.514735453382
PWY-5667	28513.99959626238	12151.833616748154	18232.611606786548	22496.773389546375	19118.42842609232	24334.252840537225	3648.3517888476276	6288.720738039635	12392.145119478497	24658.84861574997	20978.454013511982	7445.261102040355	14795.633897445101	12244.75648200954	14467.066021809746	37174.7872274239	24395.763431794334	14108.931212763104	6210.06836867971
PWY-5675	29.205851147608772	3.5431430430528126	12.114969391410131	10.559955349138367	6.405447301191707	465.65046335671803	0.0	2.8748925156119136	11.702892979842801	0.0	0.0	0.0	0.28788444402270347	5.604640146692565	0.0	177.9662872991056	88.01720526909418	0.0	1.5226604444275778
PWY-5676	6348.3055926605575	5657.260202309601	7915.9536209224025	9383.301975103826	6844.8573346497205	6492.643258442733	1087.0709039012152	1645.525172621314	2058.1637295420082	10338.747345607844	7461.999801743143	1876.7761074728996	12537.253041990654	2751.4491509500485	5731.392404052542	6501.702083449928	5365.313716762904	15840.903749687814	2464.1651292605266
PWY-5677	796.2632423213563	2484.9370322475093	2970.2376939284864	4149.31410273354	2125.4954132848293	1833.613662495651	368.51529482403066	374.9844044117231	328.0249969065709	8739.967969008483	2474.8390720670177	290.0287891887508	1881.0239617087036	244.7249823478742	1799.269432558062	176.20271267198302	1092.7476277179026	1074.5608839197153	559.3694179027976
PWY-5679	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05082327716617614	0.0002522385950827449	0.0	0.0	0.0	0.0	0.5115374662310971	0.0	3.0330411264540712e-05	0.022151923004122706	0.0	0.0
PWY-5686	25737.841484776858	12659.23078734566	14598.17157468102	23021.073402950467	18954.991797949227	22177.256558579793	3633.3659101291114	4965.3206076412625	9783.64755974681	22923.039057344206	21211.42165450782	6684.175312149867	12580.152239719626	12468.276929724541	12871.588323614642	31306.515709632757	23593.51817484976	13383.294729857553	5803.193302964247
PWY-5695	23998.413119796533	13437.424146831689	15799.759313801225	21311.668978819896	19580.971299832	24654.309348637147	3519.634046354659	6088.493293562968	12467.277291162327	25648.356284614478	20902.835228021388	5687.32292663061	12724.58455445683	13102.352174917749	11344.566080745524	36005.54080608789	26143.55080985387	11798.443802989943	5364.761832488415
PWY-5705	2085.401392034675	655.1335318216775	561.6628457465035	739.877548213717	899.9673066821124	1331.5573672087035	311.2331690822815	668.3285427782911	2550.062425837517	1431.7220716632244	3857.3972064530863	581.0429202654868	730.5661572850756	2759.765918208366	1543.9070721440864	4101.8098438323295	3364.6448977495543	937.882886426627	732.570341711618
PWY-5724	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0003054433726227963	0.00020846067268896054	0.0	0.0	0.0	0.000693262338151343	0.06350649681762295	0.0	0.004144301622179425	0.018950470768282428	0.0	0.0005615509505832821
PWY-5737	0.0	0.0	0.0	0.0	0.0	0.0	7.448258389803589	0.1573037792076095	0.6848391797136626	0.8047530540463298	0.28295973933942115	2.1745332685488257	15.256890453121567	0.12365030129676033	0.0775902699693995	0.22313262397764466	1.5492977534300638	27.74959071665811	1.5933120607906506
PWY-5741	781.4930730422146	357.70908174699554	865.4378186690728	674.7624533613994	824.3943854617723	1384.7822625367262	44.11083541298986	669.2962868190453	1269.4171681548314	0.0021944736656949407	0.0	110.69033362416472	13.481302939598818	2312.642100995217	352.4039843989465	7502.580906147631	2336.8569615635406	18.150786806982694	178.59033432338057
PWY-5743	0.0	0.0	5.930538058020929	8.734181708310231	22.438325534889934	0.0	0.0	10.848957324575801	9.606378098404026	0.0	0.0	17.533782290490738	0.0	30.451870966362193	0.0	4.762095665270516	78.56876924416349	0.0	0.9138613723405458
PWY-5744	0.0	0.0	6.220310340084785	8.714424134053607	22.268802201434674	0.0	0.0	10.94242975753967	9.901151989361512	0.0	0.0	16.605744872054228	0.0	30.62839783505691	0.0	4.793394698442836	80.44090672795159	0.0	0.9123917346368805
PWY-5747	7679.944516229606	1537.7611569420046	2288.422920924517	5295.61770550343	2409.706871356219	3277.022743482154	209.13721852093136	1610.2585075540385	1122.8904052994417	1962.9592310868202	1058.5775657378883	2038.1908105608643	629.8785030227981	4118.126916789674	2815.8636087437494	4229.1172627158385	6159.731783979416	553.075663162153	1175.506016809017
PWY-5757	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.895177148551916e-07	1.416706580344453e-05	0.0	0.0	0.0	0.0	0.015352644414039628	0.3660688971360527	0.0	0.9204286454221475	0.0	8.962594352197821e-07
